property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building,province,price_per_m2,region,municipality
RBU60880,Maurits Sabbestraat 4 202,2800,Apartment,Apartment,329000,3,104,0,0,0,1,,0,2,0,Excellent,Antwerp,3163.461538,Flanders,Mechelen
RBU61001,Nieuwstraat 13,2200,House,Residence,425000,3,378,0,0,0,1,,1,2,0,To be renovated,Antwerp,1124.338624,Flanders,Herentals
RBU62593,Veerstraat,2840,Apartment,Apartment,264700,1,69,0,0,0,1,25,0,,0,,Antwerp,3836.231884,Flanders,Rumst
RBU60705,Winkelomseheide 158,2440,Apartment,Apartment,290000,2,95,0,0,0,1,15,1,2,0,New,Antwerp,3052.631579,Flanders,Geel
RBU60944,Generaal van der Meerschstraat 85 2,2300,Apartment,Apartment,180000,2,88,0,0,0,1,2,0,2,0,Normal,Antwerp,2045.454545,Flanders,Turnhout
RBU60881,Kapelstraat 112,2840,House,Residence,309000,3,124,0,0,0,0,,1,2,0,Normal,Antwerp,2491.935484,Flanders,Rumst
RBU60928,Broekstraat 33,2480,House,Residence,245000,3,144,0,0,0,1,,1,3,0,,Antwerp,1701.388889,Flanders,Dessel
RBU66767,Kasteelloop 20,2300,Apartment,Apartment,999999,1,66,0,0,0,1,11,0,2,0,New,Antwerp,15151.5,Flanders,Turnhout
RBU66761,Kasteelloop 20,2300,Apartment,Apartment,238900,2,72,0,0,0,1,17,0,2,0,New,Antwerp,3318.055556,Flanders,Turnhout
RBU66758,Kasteelloop 20,2300,Apartment,Apartment,242900,2,73,0,0,0,1,17,0,2,0,New,Antwerp,3327.39726,Flanders,Turnhout
RBU66757,Kasteelloop 20,2300,Apartment,Apartment,246900,2,73,0,0,0,1,17,0,2,0,New,Antwerp,3382.191781,Flanders,Turnhout
RBU66766,Kasteelloop 20,2300,Apartment,Apartment,250900,2,72,0,0,0,1,17,0,2,0,New,Antwerp,3484.722222,Flanders,Turnhout
RBU66754,Kasteelloop 20,2300,Apartment,Apartment,251900,2,72,0,0,0,1,17,0,2,0,New,Antwerp,3498.611111,Flanders,Turnhout
RBU66756,Kasteelloop 20,2300,Apartment,Apartment,278900,2,85,0,0,0,1,17,0,2,0,New,Antwerp,3281.176471,Flanders,Turnhout
RBU66753,Kasteelloop 20,2300,Apartment,Apartment,282900,2,85,0,0,0,1,17,0,2,0,New,Antwerp,3328.235294,Flanders,Turnhout
RBU66763,Kasteelloop 20,2300,Apartment,Apartment,285900,2,84,0,0,0,1,25,0,2,0,New,Antwerp,3403.571429,Flanders,Turnhout
RBU66759,Kasteelloop 20,2300,Apartment,Apartment,289900,2,85,0,0,0,1,17,0,2,0,New,Antwerp,3410.588235,Flanders,Turnhout
RBU66755,Kasteelloop 20,2300,Apartment,Ground floor,227900,2,69,0,0,0,1,15,0,2,0,New,Antwerp,3302.898551,Flanders,Turnhout
RBU66760,Kasteelloop 20,2300,Apartment,Ground floor,399900,3,133,0,0,0,1,25,0,2,0,New,Antwerp,3006.766917,Flanders,Turnhout
RBU64202,Paalstraat 35,2900,Apartment,Apartment,475000,2,121,0,0,0,1,22,0,2,0,New,Antwerp,3925.619835,Flanders,Schoten
RBU64204,Paalstraat 35,2900,Apartment,Apartment,485000,2,121,0,0,0,1,22,0,2,0,New,Antwerp,4008.264463,Flanders,Schoten
RBU64205,Paalstraat 35,2900,Apartment,Apartment,550000,3,142,0,0,0,1,24,0,2,0,New,Antwerp,3873.239437,Flanders,Schoten
RBU66790,Kasteelloop 28,2300,Apartment,Apartment,232900,1,65,0,0,0,1,17,0,2,0,New,Antwerp,3583.076923,Flanders,Turnhout
RBU66783,Kasteelloop 28,2300,Apartment,Apartment,250000,1,65,0,0,0,1,17,0,2,0,New,Antwerp,3846.153846,Flanders,Turnhout
RBU66768,Kasteelloop 28,2300,Apartment,Apartment,268900,2,89,0,0,0,1,15,0,2,0,New,Antwerp,3021.348315,Flanders,Turnhout
RBU66774,Kasteelloop 28,2300,Apartment,Apartment,281900,2,90,0,0,0,1,20,0,2,0,New,Antwerp,3132.222222,Flanders,Turnhout
RBU66770,Kasteelloop 28,2300,Apartment,Apartment,299900,2,93,0,0,0,1,20,0,2,0,New,Antwerp,3224.731183,Flanders,Turnhout
RBU66772,Kasteelloop 28,2300,Apartment,Apartment,300900,2,90,0,0,0,1,20,0,2,0,New,Antwerp,3343.333333,Flanders,Turnhout
RBU66776,Kasteelloop 28,2300,Apartment,Apartment,305900,2,92,0,0,0,1,20,0,2,0,New,Antwerp,3325,Flanders,Turnhout
RBU66775,Kasteelloop 28,2300,Apartment,Apartment,301900,2,92,0,0,0,1,20,0,2,0,New,Antwerp,3281.521739,Flanders,Turnhout
RBU66771,Kasteelloop 28,2300,Apartment,Apartment,296900,2,90,0,0,0,1,20,0,2,0,New,Antwerp,3298.888889,Flanders,Turnhout
RBU66769,Kasteelloop 28,2300,Apartment,Apartment,232900,2,77,0,0,0,1,14,0,2,0,New,Antwerp,3024.675325,Flanders,Turnhout
